,Unnamed: 0,Unnamed: 0.1,id,public_metrics.following_count,public_metrics.followers_count,public_metrics.tweet_count,username,name,party,gender,politician_attention,total_number,total_unity,total_commitment,diversity,woman_number,woman_unity,woman_commitment,man_number,man_unity,man_commitment,media_number,media_unity,media_commitment
0,0,0,705574814476476416,648,6662,3790,Asano__Satoshi,浅野哲,その他,1,3.0,665.0,0.2316566192428261,0.5399848931498548,0.2223829005126674,404.0,0.1474341168091168,0.5355368290713118,59.0,0.0193181818181818,0.3866666666666666,202.0,0.0186781609195402,0.6825061842918986
1,1,1,159172689,1208,2641,1553,tanaka_shizuoka,田中健,その他,1,0.0,900.0,0.3588360791104115,0.4572808571346912,0.1686540073323357,800.0,0.3203403036717618,0.4756553360982173,82.0,0.0770301537542916,0.2634920634920635,18.0,0.0,0.6
2,2,2,96785342,10817,291557,15165,tamakiyuichiro,玉木雄一郎 ,その他,1,1.0,465.0,0.0902489177489177,0.4810225046533363,0.4925776192363588,244.0,0.0111111111111111,0.4575583420411006,191.0,0.0285185185185185,0.5596059113300493,30.0,0.0,0.4404761904761905
4,4,4,772827848985841664,229,35945,4569,Maehara2016,前原誠司,その他,1,1.0,132.0,0.0219696969696969,0.7004515599343185,0.3339557598391267,93.0,0.0,0.769230769230769,25.0,0.0523809523809523,0.3928571428571428,14.0,0.0,1.0
6,6,6,1321785504,39,22507,1777,kouhei1005mon,大塚 耕平,その他,1,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0
7,7,7,1135729429,410,6398,1539,SHIMBA_OFFICE,榛葉賀津也,その他,1,0.0,224.0,0.0849999999999999,0.4833880678708264,0.2459434582511506,167.0,0.0766666666666666,0.5367816091954022,28.0,0.0,0.2916666666666667,29.0,0.0,0.6515151515151515
8,8,8,3220324296,444,4068,4396,HamaMako0518,浜口誠,その他,1,2.0,303.0,0.0811904761904761,0.5731091705229636,0.4514915345337276,80.0,0.0333333333333333,0.4888888888888889,42.0,0.0079365079365079,0.2625,181.0,0.0238095238095238,0.7424162257495589
9,9,9,1474736472,113,7903,5369,banrikaieda,海江田　万里,その他,0,0.0,71.0,0.0166666666666666,0.2901960784313725,0.391985717119619,19.0,0.0,0.0,52.0,0.02,0.5269230769230769,0.0,0.0,0.0
10,10,10,1474736472,113,7903,5369,banrikaieda,海江田万里,立憲民主党,0,0.0,71.0,0.0166666666666666,0.2901960784313725,0.391985717119619,19.0,0.0,0.0,52.0,0.02,0.5269230769230769,0.0,0.0,0.0
11,11,11,238916996,331,153686,4582,jinkamiya,神谷　宗幣,その他,1,0.0,23.0,0.0,0.0769230769230769,0.1587901701323253,21.0,0.0,0.0909090909090909,2.0,0.0,0.0,0.0,0.0,0.0
14,14,14,722979312345870336,254,2496,3366,hirayamasachiko,平山　佐知子,その他,0,0.0,62.0,0.0106666666666666,0.4528985507246376,0.3046875,9.0,0.0,0.6,39.0,0.0115942028985507,0.5555555555555556,14.0,0.0,0.5833333333333334
15,15,15,95213148,27443,209052,53514,tachibanat,立花 孝志,その他,1,1.0,221.0,0.0865319865319865,0.2390966313380106,0.4919658797857568,120.0,0.0443051201671891,0.1830357142857142,93.0,0.0338827838827838,0.3247619047619047,8.0,0.0,1.0
16,16,16,962057304,34,226173,8404,maruyamahodaka,丸山 穂高,その他,1,0.0,144.0,0.0265567765567765,0.6296957671957671,0.0,0.0,0.0,0.0,13.0,0.0,0.4166666666666667,131.0,0.0201465201465201,0.6600694444444444
17,17,17,104940009,2297,26212,8289,satoshi_hamada,浜田 聡,その他,1,49.0,434.0,0.1289545201387306,0.3043315874585224,0.3598615916955018,312.0,0.0692202729044834,0.3115500625135514,96.0,0.0144230769230769,0.3823333333333334,26.0,0.0238095238095238,0.3636363636363636
18,18,18,1343905669,2155,17696,3182,akamineseiken,赤嶺政賢,共産党,1,7.0,996.0,0.3506310707322662,0.3721668137272294,0.4148121321865097,664.0,0.250596404390231,0.365482413020553,276.0,0.084059644059644,0.3415308829101932,56.0,0.0108695652173912,0.6904761904761905
19,19,19,266194470,3892,23355,26243,akibacsi,笠井亮,共産党,1,2.0,1014.0,0.4587275358423629,0.3873669046391197,0.4473113379944086,608.0,0.3254559839664537,0.3276586526784477,310.0,0.1747520857469706,0.371557301102513,96.0,0.0119047619047619,0.7419753086419753
20,20,20,1550171798,122,22822,6115,kokutakeiji,穀田恵二,共産党,1,2.0,186.0,0.0778829539478626,0.3067333460190603,0.2247658688865765,162.0,0.0772696984840912,0.330432067932068,24.0,0.0,0.3194444444444444,0.0,0.0,0.0
22,22,22,1492074890,468,13907,5043,ShiokawaTetsuya,塩川鉄也,共産党,1,4.0,419.0,0.1859269457397502,0.4297479436812144,0.2381752066115703,237.0,0.1207359642226455,0.3349621330013487,38.0,0.0294117647058823,0.2239583333333333,144.0,0.0219999999999999,0.7502070393374742
23,23,23,620789682,2332,19950,17386,chiduko916,高橋千鶴子,共産党,0,5.0,991.0,0.4975896817060647,0.441556398883601,0.4719599033104458,551.0,0.215616201976367,0.4991040152983678,340.0,0.3066488903656835,0.3364408495493688,100.0,0.0635802469135802,0.4775641025641026
24,24,24,234561520,2457,12006,10045,TAMURATAKAAKI,田村貴昭,共産党,0,2.0,611.0,0.2526675950773374,0.3846177671341485,0.49560546875,280.0,0.1501741093929446,0.3162820547799539,232.0,0.1108929162890221,0.3044696200158384,99.0,0.0102564102564102,0.673611111111111
25,25,25,341296862,183,57938,16381,miyamototooru,宮本徹,共産党,1,19.0,289.0,0.1388735338735338,0.5075676239469342,0.4998863665058963,98.0,0.0950091575091574,0.406,101.0,0.0267489711934156,0.4076007326007326,90.0,0.0096153846153846,0.7291666666666665
27,27,27,133192132,8559,16224,25051,gaku_ito,伊藤岳,共産党,1,4.0,695.0,0.3436410787633991,0.3796232834513906,0.407799014856633,481.0,0.2334611495998647,0.3628038164896283,192.0,0.0873762253072597,0.3736819727891157,22.0,0.0,1.0
28,28,28,293831202,1272,10248,4458,buchitom,岩渕友,共産党,1,1.0,960.0,0.4194326508109113,0.4135183644644421,0.4999571330589849,428.0,0.2527759823004388,0.3761162611612387,436.0,0.2028439779833764,0.409070183520381,96.0,0.0111111111111111,0.5905797101449276
32,32,32,2313532081,192,104685,3355,tamutomojcp,田村智子,共産党,0,8.0,345.0,0.1601044636310267,0.3888457159248233,0.3072322610961595,248.0,0.1486499919833253,0.3330640623744071,58.0,0.0277777777777777,0.3343137254901961,39.0,0.0,0.8333333333333334
33,33,33,314418205,1466,16234,5611,nihi_souhei,仁比聡平,共産党,1,7.0,681.0,0.2527094075390544,0.3523459950403166,0.413652721983953,482.0,0.2155519865405111,0.3831944260619396,199.0,0.0771356482037726,0.261372655122655,0.0,0.0,0.0
34,34,34,570836547,545,52436,6418,jcpyamashita,山下芳生,共産党,1,4.0,773.0,0.4518953885466464,0.4109612209088751,0.4969892108924326,368.0,0.3835848353908693,0.4392355261963994,315.0,0.135057783347257,0.3780123385386543,90.0,0.0141093474426807,0.5006410256410256
